v0,r0,t0,w_wh,w_m,T_m,T_a,F_trac,F_drag,F_RR,F_net_tan,a_tan0,a_norm0,P_battery,P_battery_OL,P_battery_regen,Capacity,Pack Current,Energy Use,Energy Use OL,SoC Energy,SoC Capacity,Dissipated Power,Battery Temp,Heatsink Temp,Max Values
0,0,0,0,0,71.20799402,299.0735749,1308.283355,0,0,1308.283355,4.905,14.83024691,0,0,-23.52523413,17.7,0,0,0,100,100,0,23,23,0
1.7658,0.024525,0.1,2.145669291,86.05645624,71.20799402,299.0735749,1308.283355,0.103574103,26.16566709,1282.014113,4.806511681,14.83024691,0,0,-23.52523413,17.7,0,0,0,100,100,0,23,23,8.30992219
3.496144205,0.097607558,0.2,4.248255329,170.3849704,71.20799402,299.0735749,1308.283355,0.406019442,26.16566709,1281.711668,4.805377757,14.83024691,0,0,-23.52523413,17.7,0,0,0,100,100,0,23,23,0
5.226080198,0.218749564,0.3,6.350345336,254.6935903,71.20799402,299.0735749,1308.283355,0.90723604,26.16566709,1281.210452,4.803498602,14.83024691,0,0,-23.52523413,17.7,0,0,0,100,100,0,23,23,47.90574974
6.955339694,0.387935951,0.4,8.451613316,338.9692411,71.20799402,299.0735749,1308.283355,1.606959181,26.16566709,1280.510728,4.800875208,14.83024691,0,0,-23.52523413,17.7,0,0,0,100,100,0,23,23,0
8.683654769,0.605144208,0.5,10.5517337,423.1988655,71.20799402,299.0735749,1308.283355,2.504801142,26.16566709,1279.612886,4.79750903,14.83024691,0,0,-23.43459039,17.7,0,0,0,100,100,0,23,23,0
10.41075802,0.870344385,0.6,12.65038157,507.3694314,71.20799402,299.0735749,1308.283355,3.600251654,26.16566709,1278.517436,4.79340198,14.83024691,0,0,-23.43459039,17.7,0,0,0,100,100,0,23,23,0
12.13638273,1.183499118,0.7,14.74723283,591.4679406,71.20799402,299.0735749,1308.283355,4.892678534,26.16566709,1277.225009,4.788556429,14.83024691,0,0,-23.33939439,17.7,0,0,0,100,100,0,23,23,0
13.86026305,1.544563643,0.8,16.84196443,675.4814364,71.20799402,299.0735749,1308.283355,6.381328464,26.16566709,1275.736359,4.782975201,14.83024691,0,0,-23.23980317,17.7,0,0,0,100,100,0,23,23,0
15.58213412,1.953485826,0.9,18.93425454,759.3970115,71.20799402,299.0735749,1308.283355,8.065327937,26.16566709,1274.05236,4.776661571,14.83024691,0,0,-23.23980317,17.7,0,0,0,100,100,0,23,23,0
17.30173229,2.410206193,1,21.02378279,843.2018163,71.20799402,299.0735749,1308.283355,9.943684352,26.16566709,1272.174003,4.76961926,14.83024691,0,0,-23.13596641,17.7,0,0,0,100,100,0,23,23,0
19.01879522,2.914657963,1.1,23.11023041,926.8830663,71.20799402,299.0735749,1308.283355,12.01528727,26.16566709,1270.1024,4.761852431,14.83024691,0,0,-23.02802689,17.7,0,0,0,100,100,0,23,23,0
20.73306209,3.466767093,1.2,25.19328047,1010.42805,71.20799402,299.0735749,1308.283355,14.27890983,26.16566709,1267.838778,4.753365685,14.83024691,0,0,-22.91612104,17.7,0,0,0,100,100,0,23,23,0
22.44427374,4.066452313,1.3,27.27261804,1093.824137,71.20799402,299.0735749,1308.283355,16.73321026,26.16566709,1265.384477,4.744164052,14.83024691,0,0,-22.68092586,17.7,0,0,0,100,100,0,23,23,0
24.1521728,4.713625181,1.4,29.3479304,1177.058784,71.20799402,299.0735749,1308.283355,19.37673361,26.16566709,1262.740954,4.734252987,14.83024691,0,0,-22.55788049,17.7,0,0,0,100,100,0,23,23,0
25.85650388,5.408190135,1.5,31.41890721,1260.119546,71.20799402,299.0735749,1308.283355,22.2079136,26.16566709,1259.909774,4.723638361,14.83024691,0,0,-22.43135732,17.7,0,0,0,100,100,0,23,23,0
27.55701369,6.150044546,1.6,33.4852407,1342.994078,71.20799402,299.0735749,1308.283355,25.22507453,26.16566709,1256.892613,4.712326458,14.83024691,0,0,-22.40738362,17.7,0,0,0,100,100,0,23,23,0
29.25345121,6.93907878,1.7,35.54662585,1425.670146,71.20799402,299.0735749,1308.283355,28.42643345,26.16566709,1253.691254,4.700323962,14.83024691,0,0,-22.46290133,17.7,0,0,0,100,100,0,23,23,0
30.94556784,7.775176267,1.8,37.60276057,1508.135635,71.20799402,299.0735749,1308.283355,31.81010236,26.16566709,1250.307585,4.687637952,14.83024691,0,0,-22.56763173,17.7,0,0,0,100,100,0,23,23,0
32.6331175,8.658213563,1.9,39.65334585,1590.378552,71.20799402,299.0735749,1308.283355,35.37409059,26.16566709,1246.743597,4.674275891,14.83024691,29.51457449,22.57618298,0,17.7,92.07391721,0.000819849,0.000627116,99.99984352,100,9.419562477,23,23,0
34.31585682,9.588060429,2,41.69808596,1672.387037,71.20799402,299.0735749,1308.283355,39.11630722,26.16566709,1243.00138,4.660245618,14.83024691,31.04007475,22.55811388,0,17.69744239,96.47930154,0.001682074,0.00125373,99.99967894,99.98555023,10.34250625,23.01140497,23,0
35.99354524,10.5645799,2.1,43.73668859,1754.149366,71.20799402,299.0735749,1308.283355,43.03456376,26.16566709,1239.083124,4.645555338,0,32.56159121,22.54689799,0,17.69476241,100.8437063,0.002586562,0.001880033,99.99950631,99.9704091,11.29939233,23.02392689,23.00000818,0
37.66594516,11.58762838,2.2,45.76886503,1835.653959,71.20799402,299.0735749,1308.283355,47.12657674,26.16566709,1234.991111,4.630213613,0,34.07890289,22.53852832,0,17.6919612,105.1673165,0.003533198,0.002506103,99.99932562,99.95458303,12.28907163,23.03760678,23.00002533,0
39.33282207,12.6570557,2.3,47.7943303,1916.889388,71.20799402,299.0735749,1308.283355,51.38997059,26.16566709,1230.727717,4.614229349,0,35.59179128,22.53203136,0,17.68903988,109.4503121,0.004521859,0.003131993,99.99913692,99.93807843,13.31041203,23.0524843,23.00005227,0
40.99394463,13.77270524,2.4,49.81280333,1997.844378,71.20799402,299.0735749,1308.283355,55.82228049,26.16566709,1226.295407,4.597611787,0,37.1000405,22.52688275,0,17.6859996,113.6928681,0.005552416,0.00375774,99.99894022,99.92090167,14.36229807,23.06859773,23.00008986,0
42.64908487,14.93441398,2.5,51.82400709,2078.507819,71.20799402,299.0735749,1308.283355,60.42095538,26.16566709,1221.696732,4.580370491,0,36.97494341,22.52274989,0,17.68284146,113.3420066,0.006579498,0.004383372,99.99874418,99.9030591,14.2737894,23.08598399,23.00013898,0
44.29801825,16.14201264,2.6,53.82766872,2158.868767,71.20799402,299.0735749,1308.283355,65.18336097,26.16566709,1216.934327,4.562515338,0,38.41031541,22.5179711,0,17.67969307,117.3568121,0.007646451,0.005008871,99.99854053,99.88527159,15.30291261,23.10326227,23.00020052,0
45.94052377,17.39532572,2.7,55.8235197,2238.916453,71.20799402,299.0735749,1308.283355,70.10678298,26.16566709,1212.010905,4.544056504,0,39.42520076,22.5155052,0,17.67643316,120.1810889,0.008741595,0.005634302,99.9983315,99.86685401,16.04832682,23.12178577,23.00027441,0
47.57638411,18.69417166,2.8,57.81129595,2318.640286,71.20799402,299.0735749,1308.283355,75.18843025,26.16566709,1206.929257,4.525004454,0,40.8355335,22.56492542,0,17.6730948,124.0863352,0.009875916,0.006261105,99.998115,99.8479932,17.10824286,23.14121092,23.00036153,0
49.20538572,20.03836291,2.9,59.79073797,2398.029858,55.80250921,234.3705387,1025.242951,80.42543811,26.16566709,918.6518461,3.444198299,14.83024691,33.19105887,22.70738154,0,17.66964795,102.6408372,0.01079789,0.006891866,99.99793902,99.82851951,11.70571274,23.16191847,23.00046251,0
50.4452971,21.42240017,3,61.29738639,2458.457075,6.024992761,25.3049696,110.6954051,84.52973796,26.16566709,0,0,14.83024691,4.055785671,22.79295687,0,17.66679682,13.53689086,0.01091055,0.007525004,99.99791752,99.81241141,0.203608238,23.17608379,23.00057826,0
50.4452971,22.82365843,3.1,61.29738639,2458.457075,6.024992761,25.3049696,110.6954051,84.52973796,26.16566709,0,0,14.83024691,4.055785671,22.90814361,0,17.66642079,13.53689086,0.011023211,0.008161341,99.99789601,99.81028698,0.203608238,23.17632198,23.00070408,0
50.4452971,24.22491668,3.2,61.29738639,2458.457075,6.024992761,25.3049696,110.6954051,84.52973796,26.16566709,0,0,14.83024691,4.055785671,23.00851694,0,17.66604477,13.53689086,0.011135872,0.008800466,99.99787451,99.80816254,0.203608238,23.17656017,23.00082999,0
50.4452971,25.62617493,3.3,61.29738639,2458.457075,6.024992761,25.3049696,110.6954051,84.52973796,26.16566709,0,0,14.83024691,4.055785671,23.09509941,0,17.66566875,13.53689086,0.011248532,0.009441997,99.99785301,99.80603811,0.203608238,23.17679835,23.00095597,0
50.4452971,27.02743318,3.4,61.29738639,2458.457075,6.024992761,25.3049696,110.6954051,84.52973796,26.16566709,0,0,14.83024691,4.055785671,23.16881736,0,17.66529272,13.53689086,0.011361193,0.010085575,99.9978315,99.80391367,0.203608238,23.17703652,23.00108204,0
50.4452971,28.42869144,3.5,61.29738639,2458.457075,6.024992761,25.3049696,110.6954051,84.52973796,26.16566709,0,0,14.83024691,4.055785671,23.2112348,0,17.6649167,13.53689086,0.011473854,0.010730332,99.99781,99.80178924,0.203608238,23.17727469,23.00120818,0
50.4452971,29.82994969,3.6,61.29738639,2458.457075,6.024992761,25.3049696,110.6954051,84.52973796,26.16566709,0,0,14.83024691,4.055785671,23.23336244,0,17.66454067,13.53689086,0.011586515,0.011375703,99.9977885,99.79966481,0.203608238,23.17751286,23.00133441,0
50.4452971,31.23120794,3.7,61.29738639,2458.457075,6.024992761,25.3049696,110.6954051,84.52973796,26.16566709,0,0,14.83024691,4.055785671,23.24642981,0,17.66416465,13.53689086,0.011699175,0.012021437,99.99776699,99.79754037,0.203608238,23.17775101,23.00146071,0
50.4452971,32.6324662,3.8,61.29738639,2458.457075,6.024992761,25.3049696,110.6954051,84.52973796,26.16566709,0,0,14.83024691,4.055785671,23.25782548,0,17.66378862,13.53689086,0.011811836,0.012667488,99.99774549,99.79541594,0.203608238,23.17798917,23.00158709,0
50.4452971,34.03372445,3.9,61.29738639,2458.457075,6.024992761,25.3049696,110.6954051,84.52973796,26.16566709,0,0,14.83024691,4.055785671,23.26775259,0,17.6634126,13.53689086,0.011924497,0.013313814,99.99772399,99.79329151,0.203608238,23.17822732,23.00171355,0
50.4452971,35.4349827,4,61.29738639,2458.457075,71.20799402,299.0735749,1308.283355,84.52973796,26.16566709,1197.58795,4.489982137,0,43.31028855,23.27364466,0,17.66303657,130.8852543,0.01312756,0.013960304,99.99749436,99.79116707,19.03438866,23.17846546,23.0018401,0
52.06169067,36.85869087,4.1,63.26150806,2537.232192,71.20799402,299.0735749,1308.283355,90.03361522,26.16566709,1192.084072,4.469347068,0,44.70537225,23.28151434,0,17.65940087,134.6884412,0.014369376,0.014607013,99.99725733,99.77062639,20.15664022,23.20150344,23.00196672,0
53.67065562,38.32719568,4.2,65.21660302,2615.645275,71.20799402,299.0735749,1308.283355,95.68458007,26.16566709,1186.433107,4.448160539,0,45.61933486,23.28835114,0,17.65565952,137.1686975,0.01563658,0.015253912,99.99701546,99.74948884,20.90583507,23.22589913,23.00210976,0
55.27199341,39.84028802,4.3,67.16243002,2693.686648,70.71717783,297.0121469,1299.265734,101.4795213,26.16566709,1171.620546,4.392625464,0,46.66784478,23.29428478,0,17.65184928,140.0031784,0.016932909,0.015900975,99.99676804,99.72796205,21.77876661,23.25120078,23.00227019,0
56.85333858,41.3975843,4.4,69.08396347,2770.753677,68.7797209,288.8748278,1263.669413,107.3692945,26.16566709,1130.134451,4.237086304,0,46.70981993,23.29942958,0,17.64796031,140.1164109,0.018230404,0.016548182,99.99652038,99.70599043,21.81400957,23.27755815,23.00244865,0
58.37868965,42.99802914,4.5,70.93745704,2845.091829,67.12459393,281.9232945,1233.260256,113.2079275,26.16566709,1093.886661,4.101186532,0,46.82961953,23.30388617,0,17.64406818,140.4394821,0.019531227,0.017195512,99.9962721,99.68400104,21.91472014,23.30395696,23.00264588,0
59.8551168,44.64016534,4.6,72.7315019,2917.045667,0,-1541.217502,-6741.983824,119.0065101,26.16566709,-6887.156001,-25.8212413,14.83024691,0,23.33484002,0,17.64016709,0,0.019531227,0.017843702,99.9962721,99.66196094,0,23.33047645,23.00286189,0
50.55946993,46.17370126,4.7,61.43612075,2464.0213,6.045842457,25.39253832,111.0784703,84.91280324,26.16566709,0,0,14.83024691,4.078048141,23.36077591,0,17.64016709,13.61030639,0.019644506,0.018492612,99.99625048,99.66196094,0.205822711,23.3304609,23.00309675,0
50.55946993,47.57813099,4.8,61.43612075,2464.0213,6.045842457,25.39253832,111.0784703,84.91280324,26.16566709,0,0,14.83024691,4.078048141,23.37763984,0,17.63978902,13.61030639,0.019757785,0.019141991,99.99622885,99.65982499,0.205822711,23.33069456,23.00333144,0
50.55946993,48.98256071,4.9,61.43612075,2464.0213,6.045842457,25.39253832,111.0784703,84.91280324,26.16566709,0,0,14.83024691,4.078048141,23.38410571,0,17.63941096,13.61030639,0.019871064,0.019791549,99.99620723,99.65768903,0.205822711,23.33092822,23.00356612,0
50.55946993,50.38699043,5,61.43612075,2464.0213,6.045842457,25.39253832,111.0784703,84.91280324,26.16566709,0,0,14.83024691,4.078048141,23.3870071,0,17.63903289,13.61030639,0.019984343,0.020441189,99.99618561,99.65555308,0.205822711,23.33116188,23.0038008,0
50.55946993,51.79142015,5.1,61.43612075,2464.0213,6.045842457,25.39253832,111.0784703,84.91280324,26.16566709,0,0,14.83024691,0,0,-23.37264322,17.63865483,0,0.019984343,0.020441189,99.99618561,99.65341712,0,23.33139554,23.00403548,0
50.55946993,53.19584987,5.2,61.43612075,2464.0213,6.045842457,25.39253832,111.0784703,84.91280324,26.16566709,0,0,14.83024691,4.078048141,23.35932706,0,17.63865483,13.61030639,0.020097622,0.021090059,99.99616399,99.65341712,0.205822711,23.33138,23.00427016,0
50.55946993,54.60027959,5.3,61.43612075,2464.0213,6.045842457,25.39253832,111.0784703,84.91280324,26.16566709,0,0,14.83024691,4.078048141,23.35555183,0,17.63827677,13.61030639,0.020210901,0.021738824,99.99614237,99.65128117,0.205822711,23.33161367,23.00450465,0
