elapsedDistance,engineSpeed,torque,brakePosition
Length,Speed (angular),Torque,Ratio
m,rpm,N.m,%
0.25,1818.596192,0,0
0.5,1827.142676,109.6928726,100
0.75,1835.640109,108.9705907,100
1,1844.089185,108.2524193,100
1.25,1852.490579,107.5383008,100
1.5,1860.844949,106.8281793,100
1.75,1869.152942,106.1219999,100
2,1877.415186,105.4197092,100
2.25,1885.632295,104.721255,100
2.5,1893.80487,104.0265861,100
2.75,1901.933498,103.3356526,100
3,1910.018754,102.6484059,100
3.25,1918.061198,101.9647982,100
3.5,1926.061379,101.2847828,100
3.75,1934.019834,100.6083141,100
4,1941.937088,99.93534753,100
4.25,1949.813655,99.26583935,100
4.5,1957.650038,98.59974681,100
4.75,1965.446729,97.93702805,100
5,1973.204211,97.27764209,100
5.25,1980.922955,96.62154879,100
5.5,1988.603425,95.96870886,100
5.75,1996.246073,95.31908377,100
6,2003.851344,94.87945294,100
6.25,2011.419671,94.64256429,100
6.5,2018.951482,94.4068186,100
6.75,2026.447195,94.17220279,100
7,2033.90722,93.93870402,100
7.25,2041.331957,93.70630973,100
7.5,2048.721803,93.47500757,100
7.75,2056.077142,93.24478544,100
8,2063.398356,93.01563147,100
8.25,2070.685815,92.787534,100
8.5,2077.939885,92.5604816,100
8.75,2085.160925,92.33446305,100
9,2065.887448,92.93772289,0
9.25,2064.057133,92.99501173,0
9.5,2062.769293,93.03532113,0
9.75,2061.647272,93.07044038,0
10,2060.643133,93.10186993,0
10.25,2059.731834,93.1303936,0
10.5,2058.897381,93.15651198,0
10.75,2058.128467,93.18057897,0
11,2057.416584,93.20286093,0
11.25,2056.755048,93.22356699,0
11.5,2056.138451,93.24286649,0
11.75,2055.562308,93.26089976,0
12,2055.022835,93.27778526,0
12.25,2054.516791,93.29362445,0
12.5,2054.041365,93.30850526,0
12.75,2053.594098,93.32250474,0
13,2053.172815,93.33569089,0
13.25,2052.775584,93.34812424,0
13.5,2052.400672,93.35985896,0
13.75,2052.046523,93.37094383,0
14,2051.711726,93.38142298,0
14.25,2051.395,93.3913365,0
14.5,2051.095177,93.40072095,0
14.75,2050.811189,93.4096098,0
15,2050.542052,93.41803376,0
15.25,2050.286865,93.42602112,0
15.5,2050.044793,93.43359797,0
15.75,2049.815065,93.44078846,0
16,2049.596966,93.44761496,0
16.25,2049.389831,93.45409828,0
16.5,2049.193044,93.46025773,0
16.75,2049.006027,93.46611137,0
17,2048.828243,93.471676,0
17.25,2048.65919,93.47696735,0
17.5,2048.498398,93.48200014,0
17.75,2048.345426,93.48678816,0
18,2048.199861,93.49134435,0
18.25,2048.061315,93.49568085,0
18.5,2047.929423,93.49980907,0
18.75,2055.288452,93.26947147,0
19,2062.613314,93.04020328,0
19.25,2069.904382,92.81199284,0
19.5,2077.162023,92.58482869,0
19.75,2084.386595,92.35869959,0
20,2091.578451,92.13359449,0
20.25,2098.737938,91.90950256,0
20.5,2105.865395,91.68641315,0
20.75,2112.961156,91.46431582,0
21,2120.025549,91.2432003,0
21.25,2127.058897,91.02305651,0
21.5,2134.061516,90.80387454,0
21.75,2141.033717,90.58564466,0
22,2147.975805,90.3683573,0
22.25,2154.888081,90.15200306,0
22.5,2161.77084,89.93657271,0
22.75,2168.624372,89.72205715,0
23,2175.448963,89.50844746,0
23.25,2182.244893,89.29573485,0
23.5,2189.012438,89.08391069,0
23.75,2195.75187,88.87296648,0
24,2202.463455,88.66289387,0
24.25,2209.147456,88.45368463,0
24.5,2215.804131,88.24533069,0
24.75,2222.433735,88.03782408,0
25,2229.036519,87.83115697,0
25.25,2235.612727,87.62532166,0
25.5,2242.162602,87.42031055,0
25.75,2248.686384,87.21611619,0
26,2255.184306,87.01273122,0
