elapsedDistance,brakePosition,engineSpeed,torque
Length,Percentage,Speed (angular),Torque
m,%,rpm,N.m
0.25,0,1818.596192,0
0.5,100,1827.142676,100
0.75,100,1835.640109,100
1,100,1844.089185,100
1.25,100,1852.490579,100
1.5,100,1860.844949,100
1.75,100,1869.152942,100
2,100,1877.415186,100
2.25,100,1885.632295,100
2.5,100,1893.80487,100
2.75,100,1901.933498,100
3,100,1910.018754,100
3.25,100,1918.061198,100
3.5,100,1926.061379,100
3.75,100,1934.019834,100
4,100,1941.937088,100
4.25,100,1949.813655,100
4.5,100,1957.650038,100
4.75,100,1965.446729,100
5,100,1973.204211,100
5.25,100,1980.922955,100
5.5,100,1988.603425,100
5.75,100,1996.246073,100
6,100,2003.851344,100
6.25,100,2011.419671,100
6.5,100,2018.951482,100
6.75,100,2026.447195,100
7,100,2033.90722,100
7.25,100,2041.331957,100
7.5,100,2048.721803,100
7.75,100,2056.077142,100
8,100,2063.398356,100
8.25,100,2070.685815,100
8.5,100,2077.939885,100
8.75,100,2085.160925,100
9,0,2065.887448,100
9.25,0,2064.057133,100
9.5,0,2062.769293,100
9.75,0,2061.647272,100
10,0,2060.643133,100
10.25,0,2059.731834,100
10.5,0,2058.897381,100
10.75,0,2058.128467,100
11,0,2057.416584,100
11.25,0,2056.755048,100
11.5,0,2056.138451,100
11.75,0,2055.562308,100
12,0,2055.022835,100
12.25,0,2054.516791,100
12.5,0,2054.041365,100
12.75,0,2053.594098,100
13,0,2053.172815,100
13.25,0,2052.775584,100
13.5,0,2052.400672,100
13.75,0,2052.046523,100
14,0,2051.711726,100
14.25,0,2051.395,100
14.5,0,2051.095177,100
14.75,0,2050.811189,100
15,0,2050.542052,100
15.25,0,2050.286865,100
15.5,0,2050.044793,100
15.75,0,2049.815065,100
16,0,2049.596966,100
16.25,0,2049.389831,100
16.5,0,2049.193044,100
16.75,0,2049.006027,100
17,0,2048.828243,100
17.25,0,2048.65919,100
17.5,0,2048.498398,100
17.75,0,2048.345426,100
18,0,2048.199861,100
18.25,0,2048.061315,100
18.5,0,2047.929423,100
18.75,0,2055.288452,100
19,0,2062.613314,100
19.25,0,2069.904382,100
19.5,0,2077.162023,100
19.75,0,2084.386595,100
20,0,2091.578451,100
20.25,0,2098.737938,100
20.5,0,2105.865395,100
20.75,0,2112.961156,100
21,0,2120.025549,100
21.25,0,2127.058897,100
21.5,0,2134.061516,100
21.75,0,2141.033717,100
22,0,2147.975805,100
22.25,0,2154.888081,100
22.5,0,2161.77084,100
22.75,0,2168.624372,100
23,0,2175.448963,100
23.25,0,2182.244893,100
23.5,0,2189.012438,100
23.75,0,2195.75187,100
24,0,2202.463455,100
24.25,0,2209.147456,100
24.5,0,2215.804131,100
24.75,0,2222.433735,100
25,0,2229.036519,100
25.25,0,2235.612727,100
25.5,0,2242.162602,100
25.75,0,2248.686384,100
26,0,2255.184306,100
26.25,0,2261.656601,100
26.5,0,2268.103495,100
26.75,0,2274.525214,100
27,0,2280.921977,100
27.25,0,2287.294004,100
27.5,0,2293.641506,100
27.75,0,2299.964697,100
28,0,2306.263784,100
28.25,0,2312.538972,100
28.5,0,2318.790463,100
28.75,0,2325.018455,100
29,0,2326.687939,100
29.25,0,2328.333051,100
29.5,0,2329.954008,100
29.75,0,2331.551026,100
30,0,2333.124322,100
30.25,0,2334.67411,100
30.5,0,2336.200608,100
30.75,0,2337.704033,100
31,0,2339.184599,100
31.25,0,2340.642525,100
31.5,0,2342.078027,100
31.75,0,2343.491322,100
32,0,2344.882626,100
32.25,0,2346.252157,100
32.5,0,2347.600131,100
32.75,0,2348.926766,100
33,0,2350.232278,100
33.25,0,2351.516884,100
33.5,0,2352.780801,100
33.75,0,2354.024246,100
34,0,2355.247435,100
34.25,0,2356.450586,100
34.5,0,2357.633914,100
34.75,0,2358.797636,100
35,0,2359.941967,100
35.25,0,2361.067125,100
35.5,0,2362.173325,100
35.75,0,2363.260782,100
36,0,2364.329711,100
36.25,0,2365.380327,100
36.5,0,2366.412845,100
36.75,0,2367.427479,100
37,0,2368.424443,100
37.25,0,2369.403951,100
37.5,0,2370.366214,100
37.75,0,2371.311446,100
38,0,2372.239859,100
38.25,0,2373.151664,100
38.5,0,2374.047071,100
38.75,0,2374.926292,100
39,0,2375.789535,100
39.25,0,2376.637009,100
39.5,0,2377.468923,100
39.75,0,2378.285485,100
40,0,2379.0869,100
40.25,0,2379.873374,100
40.5,0,2380.645114,100
40.75,0,2381.402321,100
41,0,2382.145201,100
41.25,0,2382.873955,100
41.5,0,2383.588783,100
41.75,0,2384.289888,100
42,0,2384.977467,100
42.25,0,2385.651719,100
42.5,0,2386.31284,100
42.75,0,2386.961027,100
43,0,2387.596474,100
43.25,0,2388.219374,100
43.5,0,2388.829919,100
43.75,0,2389.428301,100
44,0,2395.398115,100
44.25,0,2401.346706,100
44.5,0,2407.274239,100
44.75,0,2413.180875,100
45,0,2419.066776,100
45.25,0,2424.932099,100
45.5,0,2430.777001,100
45.75,0,2436.601636,100
46,0,2442.406156,100
46.25,0,2448.190712,100
46.5,0,2453.955451,100
46.75,0,2459.70052,100
47,0,2465.426063,100
47.25,0,2471.132224,100
47.5,0,2476.819143,100
47.75,0,2482.486959,100
48,0,2488.135811,100
48.25,0,2493.765832,100
48.5,0,2499.377159,100
48.75,0,2504.969922,100
49,0,2510.544254,100
49.25,0,2516.100283,100
49.5,0,2521.638136,100
49.75,0,2527.157941,100
50,0,2532.659822,100
50.25,0,2538.143902,100
50.5,0,2543.610302,100
50.75,0,2549.059144,100
51,100,2543.966242,100
51.25,100,2527.132006,100
51.5,100,2510.202447,100
51.75,100,2493.175588,100
52,100,2476.049386,100
52.25,0,2458.821726,100
52.5,0,2456.898189,100
52.75,0,2455.403242,100
53,0,2454.051393,100
53.25,0,2452.803487,100
53.5,0,2451.639109,100
53.75,0,2450.545194,100
54,0,2449.512477,100
54.25,0,2448.533954,100
54.5,0,2447.604097,100
54.75,0,2446.718409,100
55,0,2445.873139,100
55.25,0,2445.065104,100
55.5,0,2444.291558,100
55.75,0,2443.550107,100
56,0,2442.838638,100
56.25,0,2442.155274,100
56.5,0,2441.498331,100
56.75,0,2440.86629,100
57,0,2440.257772,100
57.25,0,2439.671523,100
57.5,0,2439.10639,100
57.75,0,2438.561316,100
58,0,2438.035322,100
58.25,0,2437.527505,100
58.5,0,2437.037024,100
58.75,0,2436.563095,100
59,0,2436.104989,100
59.25,0,2435.66202,100
59.5,0,2435.233548,100
59.75,0,2434.81897,100
60,0,2434.417719,100
60.25,0,2434.029259,100
60.5,0,2433.653085,100
60.75,0,2433.288719,100
61,0,2432.93571,100
61.25,0,2432.593628,100
61.5,0,2432.262065,100
61.75,0,2431.940635,100
62,0,2431.62897,100
62.25,0,2431.326717,100
62.5,0,2431.033544,100
62.75,0,2430.749132,100
63,0,2430.473174,100
63.25,0,2430.205381,100
63.5,0,2429.945474,100
63.75,0,2429.693187,100
64,0,2429.448264,100
64.25,0,2429.21046,100
64.5,0,2428.979542,100
64.75,0,2428.755284,100
65,0,2428.53747,100
65.25,0,2428.325893,100
65.5,0,2428.120353,100
65.75,0,2427.920659,100
66,0,2427.726626,100
66.25,0,2427.538077,100
66.5,0,2427.35484,100
66.75,0,2433.191331,100
67,0,2439.007619,100
67.25,0,2444.803854,100
67.5,0,2450.580186,100
67.75,0,2456.336762,100
68,0,2462.073729,100
68.25,0,2467.791229,100
68.5,0,2473.489405,100
68.75,0,2479.168397,100
69,0,2484.828344,100
69.25,0,2490.469382,100
69.5,0,2496.091646,100
69.75,0,2501.69527,100
70,0,2507.280385,100
70.25,0,2512.847122,100
70.5,0,2518.39561,100
70.75,0,2523.925974,100
71,0,2529.438342,100
71.25,0,2534.932837,100
71.5,0,2540.409581,100
71.75,0,2545.868697,100
72,0,2551.310302,100
72.25,0,2556.734517,100
72.5,0,2562.141458,100
72.75,0,2567.53124,100
73,0,2572.903978,100
73.25,0,2578.259785,100
73.5,0,2583.598772,100
73.75,0,2588.921051,100
74,0,2594.22673,100
74.25,0,2599.515917,100
74.5,0,2604.788719,100
74.75,0,2610.045242,100
75,0,2615.285591,100
75.25,0,2620.509867,100
75.5,0,2625.718174,100
75.75,0,2630.910613,100
76,0,2636.087284,100
76.25,0,2641.248285,100
76.5,0,2646.393714,100
76.75,100,2650.014366,100
77,100,2633.749598,100
77.25,0,2617.400821,100
77.5,0,2615.429765,100
77.75,0,2613.853858,100
78,0,2612.413243,100
78.25,0,2611.071522,100
78.5,0,2609.809728,100
78.75,0,2608.615721,100
79,0,2607.480884,100
79.25,0,2606.398696,100
79.5,0,2605.364009,100
79.75,0,2604.372624,100
80,0,2603.42104,100
80.25,0,2602.506279,100
80.5,0,2601.625771,100
80.75,0,2600.777268,100
81,0,2599.958787,100
81.25,0,2599.168562,100
81.5,0,2598.405006,100
81.75,0,2597.666687,100
82,0,2596.952301,100
82.25,0,2596.26066,100
82.5,0,2595.590671,100
82.75,0,2594.941329,100
83,0,2594.311704,100
83.25,0,2593.700933,100
83.5,0,2593.108214,100
83.75,0,2592.532796,100
84,0,2591.97398,100
84.25,0,2591.431107,100
84.5,0,2590.903561,100
84.75,0,2590.39076,100
85,0,2589.892156,100
85.25,0,2589.407229,100
85.5,0,2588.935491,100
85.75,0,2588.476476,100
86,0,2588.029742,100
86.25,0,2587.594872,100
86.5,0,2587.171465,100
86.75,0,2586.759142,100
87,0,2586.357541,100
87.25,0,2585.966316,100
87.5,0,2585.585136,100
87.75,0,2585.213685,100
88,0,2584.851661,100
88.25,0,2584.498774,100
88.5,0,2584.154746,100
88.75,0,2583.81931,100
89,0,2583.492211,100
89.25,0,2583.173203,100
89.5,0,2582.862048,100
89.75,0,2582.558521,100
90,0,2582.262402,100
90.25,0,2587.588857,100
90.5,0,2592.898686,100
90.75,0,2598.191996,100
91,0,2603.468894,100
91.25,0,2608.729487,100
91.5,0,2613.973879,100
91.75,0,2619.202173,100
92,0,2624.414473,100
92.25,0,2629.610879,100
92.5,0,2634.791492,100
92.75,0,2639.95641,100
93,0,2645.105733,100
93.25,0,2650.239556,100
93.5,0,2655.357977,100
93.75,0,2660.461089,100
94,0,2665.548988,100
94.25,0,2670.621765,100
94.5,0,2675.679514,100
94.75,0,2680.722324,100
95,0,2685.750287,100
95.25,0,2690.763491,100
95.5,0,2695.762025,100
95.75,0,2700.745976,100
96,0,2705.71543,100
96.25,0,2710.670474,100
96.5,0,2715.611191,100
96.75,0,2720.537666,100
97,0,2725.449982,100
97.25,0,2730.348221,100
97.5,0,2735.232465,100
97.75,0,2740.102793,100
98,0,2744.959287,100
98.25,0,2749.802024,100
98.5,0,2754.631084,100
98.75,0,2759.446543,100
99,0,2764.248479,100
99.25,0,2769.036967,100
99.5,0,2773.812083,100
99.75,0,2778.573901,100
100,0,2783.322496,100
100.25,0,2788.057939,100
100.5,0,2792.780304,100
100.75,0,2797.489663,100
101,0,2802.186087,100
101.25,0,2806.869645,100
101.5,0,2811.540408,100
101.75,0,2816.198446,100
102,0,2820.843825,100
102.25,0,2823.271339,100
102.5,0,2825.684707,100
102.75,0,2828.08399,100
103,0,2830.469246,100
103.25,0,2832.840535,100
103.5,0,2835.197917,100
103.75,0,2837.541452,100
104,0,2839.871197,100
104.25,0,2842.187211,100
104.5,0,2844.489554,100
104.75,0,2846.778283,100
105,0,2849.053457,100
105.25,0,2851.315133,100
105.5,0,2853.563369,100
105.75,0,2855.798222,100
106,0,2858.019751,100
106.25,0,2860.228012,100
106.5,0,2862.423062,100
106.75,0,2864.604958,100
107,0,2866.773756,100
107.25,0,2868.929513,100
107.5,0,2871.072285,100
107.75,0,2873.202128,100
108,0,2875.319098,100
108.25,0,2877.423251,100
108.5,0,2879.514642,100
108.75,0,2881.593327,100
109,0,2883.65936,100
109.25,0,2885.712798,100
109.5,0,2887.753694,100
109.75,0,2889.782103,100
110,0,2891.798081,100
110.25,0,2893.801681,100
110.5,0,2895.792958,100
110.75,0,2897.771965,100
111,0,2899.738757,100
111.25,0,2901.693388,100
111.5,0,2903.635911,100
111.75,0,2905.566379,100
112,0,2909.975235,100
112.25,0,2914.372722,100
112.5,0,2918.758898,100
112.75,0,2923.133818,100
113,0,2927.497538,100
113.25,0,2931.850113,100
113.5,0,2936.191598,100
113.75,0,2940.522046,100
114,0,2944.841512,100
114.25,0,2949.150048,100
114.5,0,2953.447709,100
114.75,0,2957.734545,100
115,0,2962.010609,100
115.25,0,2966.275953,100
115.5,0,2970.530628,100
115.75,0,2974.774684,100
116,0,2979.008171,100
116.25,0,2983.231141,100
116.5,0,2987.443641,100
116.75,0,2991.645722,100
117,0,2995.837431,100
117.25,0,3000.018818,100
117.5,0,3004.189931,100
117.75,0,3008.350816,100
118,0,3012.501521,100
118.25,0,3016.642093,100
118.5,0,3020.772578,100
118.75,0,3024.893023,100
119,0,3029.003472,100
119.25,0,3033.103973,100
119.5,0,3037.194569,100
119.75,0,3041.275305,100
120,0,3045.346226,100
120.25,0,3049.407376,100
120.5,0,3053.458798,100
120.75,0,3057.500536,100
121,0,3061.532632,100
121.25,0,3065.55513,100
121.5,0,3069.568072,100
121.75,0,3073.5715,100
122,0,3077.565456,100
122.25,0,3081.54998,100
122.5,0,3085.525115,100
122.75,0,3089.490901,100
123,0,3093.447379,100
123.25,0,3097.394588,100
123.5,0,3101.332569,100
123.75,0,3105.261362,100
124,0,3109.181006,100
124.25,0,3113.091539,100
124.5,0,3116.993002,100
124.75,0,3120.885431,100
125,0,3124.768866,100
125.25,0,3128.643345,100
125.5,0,3132.508904,100
125.75,0,3136.365582,100
126,0,3140.213417,100
126.25,0,3144.052443,100
126.5,0,3147.882699,100
126.75,0,3151.704221,100
127,0,3155.517045,100
127.25,0,3159.321206,100
127.5,0,3163.116741,100
127.75,0,3166.903684,100
128,0,3170.682072,100
128.25,0,3174.451938,100
128.5,0,3178.213318,100
128.75,0,3181.966245,100
129,0,3185.710755,100
129.25,0,3189.446881,100
129.5,0,3193.174656,100
129.75,0,3196.894115,100
130,0,3200.605291,100
130.25,0,3204.308216,100
130.5,0,3208.002923,100
130.75,0,3211.689446,100
131,0,3215.367816,100
131.25,0,3219.038065,100
131.5,0,3222.700226,100
131.75,0,3226.354331,100
132,0,3230.00041,100
132.25,0,3233.638496,100
132.5,0,3237.268619,100
132.75,0,3240.89081,100
133,0,3244.505101,100
133.25,0,3248.111521,100
133.5,0,3251.7101,100
133.75,0,3255.30087,100
134,0,3258.88386,100
134.25,0,3262.459099,100
134.5,0,3266.026618,100
134.75,0,3269.586445,100
135,0,3273.13861,100
135.25,0,3276.683142,100
135.5,0,3280.22007,100
135.75,0,3283.749422,100
136,0,3287.271226,100
136.25,0,3290.785512,100
136.5,0,3294.292306,100
136.75,0,3297.791638,100
137,0,3301.283534,100
137.25,0,3304.768023,100
137.5,0,3308.245131,100
137.75,0,3311.714887,100
138,0,3315.177316,100
138.25,0,3318.632446,100
