[Result Details]
Result Name,[78.43] ThrunaEndurance, Endurance-2023-MIS
Date Created,10/6/2023 6:28:14 PM
Track,Endurance-2023-MIS
Track Configuration,Closed Circuit
Vehicle,ThrunaEndurance

[KPI Values]
Lap time [s],78.4317369547114,
Percent in Corners [%],57.2310911188704,
Percent Accelerating [%],54.9974692070266,
Percent Braking [%],44.3015433730695,
Percent Coasting [%],0.193895165258369,
Percent 100% Throttle [%],33.1072647975613,
Percent TCS Enabled [%],97.3478286480416,
Lowest Speed [km/h],26.5815936498328,
Highest Speed [km/h],77.2663847870804,
Average Speed [km/h],50.4595760362764,
Energy Spent [kJ],292.150292059488,
Fuel Consumption [kg],∞,
Gear Shifts [-],0,
Maximum Lateral Acceleration [m/s^2],14.8237152981019,
Maximum Longitudinal Acceleration [m/s^2],2.11223838331957,
Maximum Longitudinal Deceleration [m/s^2],-6.08095481070248,
Time in Sector 1 [s],78.4317369547114,
Maximum Speed in Sector 1 [km/h],77.2663847870804,
Minimum Speed in Sector 1 [km/h],26.5815936498328,
Percent in Gear 1 [%],100,

[Vehicle Parameters]
Mass Longitudinal Friction [kg],0,
Vehicle Mass [kg],225,
Drag Coefficient [-],1,
Downforce Coefficient [-],0.01,
Aero Efficiency [-],0.01,
Frontal Area [m^2],0.8,
Drivetrain Efficiency [%],90,
Tire Rolling Radius [m],0.229,
Air Density [kg/m^3],1.2,
Rev Limit [rpm],7600,
Longitudinal Friction [-],0.5,
Lateral Friction [-],1.51,
Final Drive Ratio [-],4.2,
Fuel Energy Density [J/kg],720000,
Engine Thermal Efficiency [%],0,
Tire Rolling Drag [-],0.02,
Power Scaling Factor [%],100,
Aero Scaling Factor [%],100,
Grip Scaling Factor [%],100,
Mass Lateral Friction [kg],0,
Load Sensitivity Lateral Friction [-],0,
Load Sensitivity Longitudinal Friction [-],0,
Gear Ratio Data [-],0,
Gear Shift Points [rpm],0,
Torque Data [N.m],0,
RPM Data [rpm],0,

[Vehicle KPIs]
Top Speed [km/h],149.198548207282,
Acceleration Time To Speed [27.778 km/h] [s],19.7571653493387,
Acceleration Time For Distance [100 m] [s],20.5158840185245,
Deceleration Time For Speed [27.778 km/h] [s],1.95505859670902,
Deceleration Distance For Speed [27.778 km/h] [m],26.2000000000001,

[Simulation Results]
speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,kW,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
37.3812300564283,0,0.25,0,2.0272432194156,1,4.2,1818.5961919804,0,0,0.517539392789488,0,0,0,0,0,1,0,0,0,0,0,0,0.0304673358512867,-0.248136537910331,0,2207.76753939279,
37.5569029637922,0.0240762542763151,0.5,0,2.02681153236175,1,4.2,1827.14267586774,100,19.133793358555,0.522415170456186,52.2415170456186,66.5622508914716,100,100,0,1,0,1.51,0.5,0,0,0,0.0599181787037897,-0.511913436318842,0,2207.77241517046,
37.7315676426107,0.0480398915567285,0.75,0,2.02464950419372,1,4.2,1835.64010945388,100,19.2227782749836,0.527285628432928,52.7285628432928,66.5621770453681,100,100,0,1,0,1.51,0.5,0,0,0,0.0893690215562928,-0.775690334727354,0,2207.77728562843,
37.905238324071,0.0718925978244538,1,0,2.02248983489443,1,4.2,1844.08918508584,100,19.3112567881002,0.532150774964674,53.2150774964674,66.5621032798339,100,100,0,1,0,1.51,0.5,0,0,0,0.118819864408796,-1.03946723313587,0,2207.78215077496,
38.0779288981667,0.0956360179899055,1.25,0,2.02033252080789,1,4.2,1852.49057851156,100,19.3992359743207,0.537010618212532,53.7010618212532,66.5620295947442,100,100,0,1,0,1.51,0.5,0,0,0,0.148270707261299,-1.30324413154438,0,2207.78701061821,
38.2496529251333,0.119271757276223,1.5,0,2.01817755831527,1,4.2,1860.84494943626,100,19.4867227420621,0.541865166256725,54.1865166256725,66.5619559899755,100,100,0,1,0,1.51,0.5,0,0,0,0.177721550113802,-1.56702102995289,0,2207.79186516626,
38.4204236463946,0.142801382545283,1.75,0,2.01602494383363,1,4.2,1869.15294205498,100,19.573723837319,0.546714427099422,54.6714427099422,66.5618824654052,100,100,0,1,0,1.51,0.5,0,0,0,0.207172392966305,-1.8307979283614,0,2207.7967144271,
38.5902539950449,0.166226423567298,2,0,2.01387467381462,1,4.2,1877.41518556254,100,19.660245849004,0.551558408667437,55.1558408667437,66.5618090209123,100,100,0,1,0,1.51,0.5,0,0,0,0.236623235818808,-2.09457482676991,0,2207.80155840867,
38.7591566058908,0.189548374236904,2.25,0,2.01172674474333,1,4.2,1885.63229464205,100,19.7462952140637,0.556397118814803,55.6397118814803,66.5617356563767,100,100,0,1,0,1.51,0.5,0,0,0,0.266074078671311,-2.35835172517842,0,2207.80639711881,
38.9271438250754,0.21276869373847,2.5,0,2.0095811531371,1,4.2,1893.80486993316,100,19.8318782223819,0.561230565325224,56.1230565325224,66.5616623716793,100,100,0,1,0,1.51,0.5,0,0,0,0.295524921523814,-2.62212862358694,0,2207.81123056533,
39.0942277193059,0.235888807663198,2.75,0,2.00743789554446,1,4.2,1901.93349848096,100,19.9170010214804,0.566058755914424,56.6058755914424,66.5615891667024,100,100,0,1,0,1.51,0.5,0,0,0,0.324975764376317,-2.88590552199545,0,2207.81605875591,
39.260420084704,0.258910109080428,3,0,2.00529696854408,1,4.2,1910.01875416658,100,20.0016696210282,0.570881698232381,57.0881698232381,66.5615160413291,100,100,0,1,0,1.51,0.5,0,0,0,0.35442660722882,-3.14968242040396,0,2207.82088169823,
