Section Length,Cumulative Length,Radius
9.92,9.92,9.39
9.94,19.86,0
15.32,35.18,13.24
8.08,43.26,0
14.53,57.79,13.3
10.52,68.31,0
12.98,81.29,15.07
11.78,93.07,0
10,103.07,23.56
63.85,166.92,0
18.74,185.66,31.72
26.59,212.25,21.5
18.13,230.38,0
25.64,256.02,22.09
20.28,276.3,0
18.34,294.64,22.23
14.41,309.05,20.43
10.71,319.76,11.57
11.77,331.53,15.09
29.13,360.66,20.63
10.25,370.91,10.21
78.13,449.04,0
10.04,459.08,7.44
16.01,475.09,11.78
16.68,491.77,0
7.21,498.98,9.13
6.61,505.59,4.05
6.68,512.27,0
14.26,526.53,12.32
7.29,533.82,3.92
9.05,542.87,29.42
20.96,563.83,0
32.25,596.08,33.4
22.99,619.07,17.72
17.05,636.12,15.49
12.19,648.31,5.52
95.71,744.02,0
4.28,748.3,6.38
8.89,757.19,7.09
9.5,766.69,7.92
7.5,774.19,8.7
10.67,784.86,36.5
31.55,816.41,0
5.2,821.61,3.71
31.33,852.94,14.33
7.22,860.16,0
4,864.16,6.58
5.99,870.15,20.92
29.12,899.27,0
4.91,904.18,8.51
10,914.18,8.13
9.8,923.98,8.49
9.09,933.07,7.79
5.22,938.29,0
9.72,948.01,8.45
8.69,956.7,0
12.37,969.07,10.03
7.28,976.35,0
12.91,989.26,8.2
3.65,992.91,0
9.96,1002.87,6.86
9.92,1012.79,9.39
9.94,1022.73,0
15.32,1038.05,13.24
8.08,1046.13,0
14.53,1060.66,13.3
10.52,1071.18,0
12.98,1084.16,15.07
11.78,1095.94,0
10,1105.94,23.56
63.85,1169.79,0
18.74,1188.53,31.72
26.59,1215.12,21.5
18.13,1233.25,0
25.64,1258.89,22.09
20.28,1279.17,0
18.34,1297.51,22.23
14.41,1311.92,20.43
10.71,1322.63,11.57
11.77,1334.4,15.09
29.13,1363.53,20.63
10.25,1373.78,10.21
78.13,1451.91,0
10.04,1461.95,7.44
16.01,1477.96,11.78
16.68,1494.64,0
7.21,1501.85,9.13
6.61,1508.46,4.05
6.68,1515.14,0
14.26,1529.4,12.32
7.29,1536.69,3.92
9.05,1545.74,29.42
20.96,1566.7,0
32.25,1598.95,33.4
22.99,1621.94,17.72
17.05,1638.99,15.49
12.19,1651.18,5.52
95.71,1746.89,0
4.28,1751.17,6.38
8.89,1760.06,7.09
9.5,1769.56,7.92
7.5,1777.06,8.7
10.67,1787.73,36.5
31.55,1819.28,0
5.2,1824.48,3.71
31.33,1855.81,14.33
7.22,1863.03,0
4,1867.03,6.58
5.99,1873.02,20.92
29.12,1902.14,0
4.91,1907.05,8.51
10,1917.05,8.13
9.8,1926.85,8.49
9.09,1935.94,7.79
5.22,1941.16,0
9.72,1950.88,8.45
8.69,1959.57,0
12.37,1971.94,10.03
7.28,1979.22,0
12.91,1992.13,8.2
3.65,1995.78,0
9.96,2005.74,6.86
9.92,2015.66,9.39
9.94,2025.6,0
15.32,2040.92,13.24
8.08,2049,0
14.53,2063.53,13.3
10.52,2074.05,0
12.98,2087.03,15.07
11.78,2098.81,0
10,2108.81,23.56
63.85,2172.66,0
18.74,2191.4,31.72
26.59,2217.99,21.5
18.13,2236.12,0
25.64,2261.76,22.09
20.28,2282.04,0
18.34,2300.38,22.23
14.41,2314.79,20.43
10.71,2325.5,11.57
11.77,2337.27,15.09
29.13,2366.4,20.63
10.25,2376.65,10.21
78.13,2454.78,0
10.04,2464.82,7.44
16.01,2480.83,11.78
16.68,2497.51,0
7.21,2504.72,9.13
6.61,2511.33,4.05
6.68,2518.01,0
14.26,2532.27,12.32
7.29,2539.56,3.92
9.05,2548.61,29.42
20.96,2569.57,0
32.25,2601.82,33.4
22.99,2624.81,17.72
17.05,2641.86,15.49
12.19,2654.05,5.52
95.71,2749.76,0
4.28,2754.04,6.38
8.89,2762.93,7.09
9.5,2772.43,7.92
7.5,2779.93,8.7
10.67,2790.6,36.5
31.55,2822.15,0
5.2,2827.35,3.71
31.33,2858.68,14.33
7.22,2865.9,0
4,2869.9,6.58
5.99,2875.89,20.92
29.12,2905.01,0
4.91,2909.92,8.51
10,2919.92,8.13
9.8,2929.72,8.49
9.09,2938.81,7.79
5.22,2944.03,0
9.72,2953.75,8.45
8.69,2962.44,0
12.37,2974.81,10.03
7.28,2982.09,0
12.91,2995,8.2
3.65,2998.65,0
9.96,3008.61,6.86
9.92,3018.53,9.39
9.94,3028.47,0
15.32,3043.79,13.24
8.08,3051.87,0
14.53,3066.4,13.3
10.52,3076.92,0
12.98,3089.9,15.07
11.78,3101.68,0
10,3111.68,23.56
63.85,3175.53,0
18.74,3194.27,31.72
26.59,3220.86,21.5
18.13,3238.99,0
25.64,3264.63,22.09
20.28,3284.91,0
18.34,3303.25,22.23
14.41,3317.66,20.43
10.71,3328.37,11.57
11.77,3340.14,15.09
29.13,3369.27,20.63
10.25,3379.52,10.21
78.13,3457.65,0
10.04,3467.69,7.44
16.01,3483.7,11.78
16.68,3500.38,0
7.21,3507.59,9.13
6.61,3514.2,4.05
6.68,3520.88,0
14.26,3535.14,12.32
7.29,3542.43,3.92
9.05,3551.48,29.42
20.96,3572.44,0
32.25,3604.69,33.4
22.99,3627.68,17.72
17.05,3644.73,15.49
12.19,3656.92,5.52
95.71,3752.63,0
4.28,3756.91,6.38
8.89,3765.8,7.09
9.5,3775.3,7.92
7.5,3782.8,8.7
10.67,3793.47,36.5
31.55,3825.02,0
5.2,3830.22,3.71
31.33,3861.55,14.33
7.22,3868.77,0
4,3872.77,6.58
5.99,3878.76,20.92
29.12,3907.88,0
4.91,3912.79,8.51
10,3922.79,8.13
9.8,3932.59,8.49
9.09,3941.68,7.79
5.22,3946.9,0
9.72,3956.62,8.45
8.69,3965.31,0
12.37,3977.68,10.03
7.28,3984.96,0
12.91,3997.87,8.2
3.65,4001.52,0
9.96,4011.48,6.86
9.92,4021.4,9.39
9.94,4031.34,0
15.32,4046.66,13.24
8.08,4054.74,0
14.53,4069.27,13.3
10.52,4079.79,0
12.98,4092.77,15.07
11.78,4104.55,0
10,4114.55,23.56
