Current_0.56A,Current_0.56A,Current_2.8A,Current_2.8A,Current_10A,Current_10A,Current_20A,Current_20A,Current_30A,Current_30A
Capacity_Ah,Voltage_V,Capacity_Ah,Voltage_V,Capacity_Ah,Voltage_V,Capacity_Ah,Voltage_V,Capacity_Ah,Voltage_V
2800,4.08542708,2825.184249,4.035175823,2800,3.874371857,2800,3.678391877,2800,3.497487428
2760.884088,4.055276402,2782.987206,4.015075339,2762.893434,3.839195938,2774.94982,3.658291489,2793.034092,3.482412089
2700.602773,4.045225921,2728.734084,4,2704.62162,3.819095263,2706.630966,3.643215959,2732.752777,3.477386848
2652.377691,4.025125629,2678.499655,3.979899516,2644.340305,3.809045261,2670.462116,3.638190909,2680.509002,3.472361799
2606.162108,4.005025145,2628.265226,3.959798937,2563.965219,3.778894391,2630.274573,3.613065281,2624.246533,3.472361799
2547.89014,3.984924565,2580.040144,3.929648259,2479.571286,3.738693424,2555.927679,3.608040232,2567.983912,3.44221093
2483.590133,3.959798937,2517.749483,3.914572824,2405.224393,3.713567795,2463.496361,3.577889362,2487.608826,3.432160831
2413.261932,3.939698453,2459.477515,3.889447196,2326.858653,3.698492457,2379.102429,3.552763734,2429.336857,3.412060252
2340.924232,3.909547679,2403.215046,3.864321567,2256.530453,3.668341587,2298.727342,3.527638105,2346.952425,3.396984913
2266.577339,3.879397002,2344.943078,3.844220892,2178.164713,3.643215959,2222.371102,3.517587815,2268.586685,3.366834044
2204.286677,3.864321567,2292.699303,3.8241206,2103.81782,3.61809033,2137.97717,3.492462187,2190.220945,3.346733656
2148.024056,3.854271373,2228.399142,3.80402002,2019.423887,3.597989942,2041.527159,3.467336558,2089.752088,3.316582786
2089.752088,3.834170794,2174.14602,3.79396973,1941.058301,3.562814024,1957.133226,3.44221093,1993.302076,3.28140706
2015.405194,3.798994971,2119.892745,3.778894391,1866.711254,3.552763734,1876.75814,3.407035203,1884.795679,3.26130648
1916.945683,3.773869342,2053.583391,3.743718473,1800.4019,3.512562766,1808.439286,3.386934623,1802.411246,3.241205901
1820.495672,3.738693424,1975.217651,3.718592844,1711.989274,3.492462187,1716.007967,3.361808995,1707.970428,3.201004933
1707.970428,3.693467216,1892.833218,3.703517506,1631.614188,3.477386848,1623.576649,3.341708415,1621.567303,3.190954643
1621.567303,3.678391877,1806.429939,3.673366828,1557.267295,3.44723617,1537.173523,3.301507448,1501.004673,3.155778917
1533.154524,3.653266248,1748.157971,3.648241199,1501.004673,3.432160831,1458.80763,3.286432109,1394.507623,3.125628047
1442.732552,3.638190909,1661.754846,3.62814062,1440.723359,3.412060252,1370.395158,3.26130648,1292.029265,3.105527659
1366.376465,3.603014991,1583.388953,3.608040232,1376.423351,3.402009962,1294.038765,3.236180852,1157.401057,3.07537679
1277.963686,3.592964701,1513.060752,3.587939652,1314.132537,3.381909574,1221.701065,3.226130562,1056.932199,3.050251161
