Charge_2.8A,Charge_2.8A,Charge_5.6A,Charge_5.6A
time,voltage,time,voltage
0,1.333333277,0,2.800008019
0.020053476,2.800008019,0.029411827,6.666666384
0.040106953,4.133341296,0.056149795,11.8666682
0.058823551,6.133341211,0.090909134,19.20000122
0.08556152,9.066670351,0.148395706,30.80000683
0.127005351,13.06667018,0.203208623,40.9333377
0.181818166,18.53333458,0.243315576,49.99999788
0.245989332,25.33333226,0.290107021,58.80000056
0.327540116,33.60000468,0.33288773,67.46666686
0.419786128,42.66666486,0.374331561,75.33332505
0.530748739,54.13333918,0.411764758,82.79999954
0.613636401,62.13333375,0.430481356,86.79999937
0.68315518,69.20000419,0.447860975,89.06666696
0.748663122,76.26666954,0.462566837,91.73333351
0.807486775,82.26666928,0.485294172,93.73333343
0.860962713,87.86667006,0.506684526,95.06666671
0.890374437,90.66666791,0.528074881,96.00000102
0.907754158,92.13333248,0.545454601,97.200003
0.926470654,93.33333446,0.568181834,97.86666964
0.943850375,94.66666774,0.593582924,98.3999999
0.954545603,95.33333438,0.617647137,98.66666757
0.974599079,96.13333231,0.644385003,99.06666654
0.994652556,96.79999895,0.66443848,99.33333421
1.014706032,97.200003,0.684491956,99.4666655
1.034759509,97.33333429,0.708556169,99.4666655
1.054812985,98.13333223,0.731283402,99.86666955
1.073529482,98.53333628,0.754010838,100
1.096256714,98.66666757,0.775401091,100
1.117647171,98.79999886,0.802139059,100
1.139037423,99.33333421,0.828877028,100
1.16042788,99.33333421,1.5,100
1.187165848,99.4666655,,
1.203208589,99.73333318,,
1.225935821,99.86666955,,
1.248663258,99.86666955,,
1.27005351,100.0000008,,
1.286096251,100.0000008,,
1.5,100,,
